"trading_day","symboltype","InstrumentID"
"20160104",a,a1605
"20160104",ag,ag1606
"20160104",al,al1603
"20160104",au,au1606
"20160104",bu,bu1606
"20160104",c,c1605
"20160104",CF,CF605
"20160104",cs,cs1605
"20160104",cu,cu1602
"20160104",FG,FG605
"20160104",hc,hc1605
"20160104",i,i1605
"20160104",j,j1605
"20160104",jd,jd1605
"20160104",jm,jm1605
"20160104",l,l1605
"20160104",m,m1605
"20160104",MA,MA605
"20160104",ni,ni1605
"20160104",OI,OI605
"20160104",p,p1605
"20160104",pb,pb1602
"20160104",pp,pp1605
"20160104",rb,rb1605
"20160104",RM,RM605
"20160104",ru,ru1605
"20160104",SF,SF601
"20160104",SM,SM601
"20160104",sn,sn1605
"20160104",SR,SR605
"20160104",TA,TA605
"20160104",v,v1605
"20160104",y,y1605
"20160104",ZC,ZC605
"20160104",zn,zn1602
"20160105",a,a1605
"20160105",ag,ag1606
"20160105",al,al1603
"20160105",au,au1606
"20160105",bu,bu1606
"20160105",c,c1605
"20160105",CF,CF605
"20160105",cs,cs1605
"20160105",cu,cu1602
"20160105",cu,cu1603
"20160105",FG,FG605
"20160105",hc,hc1605
"20160105",i,i1605
"20160105",j,j1605
"20160105",jd,jd1605
"20160105",jm,jm1605
"20160105",l,l1605
"20160105",m,m1605
"20160105",MA,MA605
"20160105",ni,ni1605
"20160105",OI,OI605
"20160105",p,p1605
"20160105",pb,pb1602
"20160105",pb,pb1603
"20160105",pp,pp1605
"20160105",rb,rb1605
"20160105",RM,RM605
"20160105",ru,ru1605
"20160105",SF,SF605
"20160105",SM,SM605
"20160105",sn,sn1605
"20160105",SR,SR605
"20160105",TA,TA605
"20160105",v,v1605
"20160105",y,y1605
"20160105",ZC,ZC605
"20160105",zn,zn1602
"20160105",zn,zn1603
"20160106",a,a1605
"20160106",ag,ag1606
"20160106",al,al1603
"20160106",au,au1606
"20160106",bu,bu1606
"20160106",c,c1605
"20160106",CF,CF605
"20160106",cs,cs1605
"20160106",cu,cu1603
"20160106",FG,FG605
"20160106",hc,hc1605
